rowNumber,product_code,product_name,id
"4","'1002172245","KDP 13IN1 FAMILY GAME MAGNETIC 8103","897"
"5","'1525030162","SCOOBIES FUR SKIN BALL - 0002","898"
"6","'1525030163","SCOOBIES MINI COLOR CHANGING BALL - 1009","899"
"7","'1525030167","SCOOBIES UNI-DAWDLERS","900"
"8","'27084120134","HOT WHEELS CARS","901"
"9","'27084919530","MATTEL-BLINK T5931","902"
"11","'78206010017","MATTEL UNO WILD AGE 7+YEARS","903"
"12","'78206020016","MATTEL-UNO WILD 42003","904"
"13","'78206020504","MATTEL GAMES SKIP BO AGE 7+YEARS","905"
"15","'194735028979","HW-SHARK ESCAPE HDP06","906"
"16","'194735029006","HOTWHEELS SUPER TWIST TIRE SHOP","907"
"17","'194735123872","HOTWHEELS TRACK BUILDER FLAME STUNT PACK HMC04","908"
"18","'194735220809","MATTEL-UNO SHOW EM NO MERCY HWV18","909"
"19","'194735263592","GMH39 HW PREMIUM COLL SET","910"
"20","'194735264179","HW-DUAL DRAGON TRANSPORTER JBM72","911"
"35","'619659152437","SANDISK ULTRA USB 3.0 FLASH PEN DRIVE 32GB","912"
"36","'619659152444","SANDISK ULTRA USB 3.0 FLASH PEN DRIVE 64GB","913"
"37","'619659168513","SANDISK ULTRA USB 3.0 FLASH PEN DRIVE 128GB","914"
"38","'619659184193","SANDISK ULTRA USB 3.0 FLASH PEN DRIVE 256GB","915"
"39","'619659200473","SANDISK ULTRA MICROSDXC UHS-1 CARD A1 64GB","916"
"40","'619659200497","SANDISK ULTRA MICROSDXC UHS-1 CARD A1 256GB","917"
"41","'619659209353","SANDISK MOBILE PEN DRIVE 2IN1 USB TYPE-C 128GB","918"
"44","'629778642726","DOMS-CJ- DOODLE ART ROLL-211270-270710","919"
"45","'629778645383","DOMS-CJ- WOODEN FOLDING CHESS S06-110790","920"
"46","'629778790076","DOMS-CJ- LUDO SNAKE & LADDERS G02-211020","921"
"53","'630509990276","HASBRO PERFECT ON PLUS! DUEL MODE","922"
"54","'726684515172","EVMACR+ 4IN1 OTG CARD READER USB 2.0+TYPE-C","923"
"55","'726684515233","EVM-OTG-05 TYPE-C TO USB OTG CONVERTER","924"
"56","'744109737794","EVM CGRJ 5-IN-1 TYPE-C 5 IN 1 DOCKING STATION","925"
"57","'746775060817","MATTEL PHASE 10","926"
"58","'746775307509","HW BDW51 MID PRICED RIG AS","927"
"59","'750670142738","BECRE8V STEM BOX 3-IN-1 COMBO","928"
"60","'750670142950","BECRE8V SPIN ART MAKER MACHINE","929"
"61","'758277989695","AEROM THUNDERBIRD BOOMERANG PLANE","930"
