rowNumber,product_code,product_name,id
"2","'802017","LINOGRAPH TRIANGULAR SCALE","182"
"3","'89071151","KDP CRAFT PAPER BAG 9x8 SIZE","183"
"21","'195166109046","Nerf Alpha Strike Wolf LR 1 Toy Gun","117"
"22","'195166109145","Nerf Alpha Strike Fang QS-4 Toy Blaster","111"
"23","'195166110103","Hasbro NERF Alpha Strike Claw Dual QS-4 10X Elite","115"
"24","'195166155418","Hasbro NERF Elite 2.0 Tetrad QS-4 4X","118"
"25","'195166159553","Hasbro Grab & Go Connect 4 Marvel Avengers","97"
"27","'195166190884","Hasbro MONOPOLY Board Game (Multicolor)","94"
"29","'195166230993","HASBRO GRAB&GO CLUEDO 8+YEARS","96"
"30","'195166231020","HASBRO GRAB&GO CONNECT4 6+YEARS","98"
"32","'195166247908","Hasbro NERF Junior Wild Lionfury, Easy Play Foam Dart Blaster, 16 Elite Darts, Blaster Lion Toys","113"
"33","'195166265094","Hasbro NERF N Series Ward Blaster 2X","110"
"34","'195166290843","Hasbro NERF N Series Double Impact 12X","116"
"42","'629778182826","DOMS-CJ- LITTLE ARTIST KIT-110580","184"
"43","'629778544655","DOMS-CJ- DIY SPINNING TOPS R01-110430","185"
"47","'629778890592","DOMS-CJ- PAIR MASTER S08-210960","186"
"48","'629778950692","DOMS-CJ- SNAP MATCH GRANDE S09-210970","187"
"50","'630509886081","Hasbro Connect 4 Card Game","104"
"51","'630509944439","Hasbro NERF Elite 2.0 Commander RD-6 12X","114"
"52","'630509948079","Hasbro NERF Elite 2.0 Volt SD-1 6X","112"
"62","'759245823614","SKOODLE COLOR FUN","188"
"65","'778988268575","Funskool Spin Master Games Perplexus Beast","125"
"66","'778988568361","Funskool Spin Master Games Perplexus Rebel","124"
"83","'880025053249","DOMS-CJ- CLASSIC-4 GAME S11-110280","189"
"84","'880025215180","DOMS-CJ- EASEL BOARD ABHYASAM S13-110290","190"
"85","'880025325612","DOMS-CJ- MY FIRST 100 WORDS-210020","191"
"86","'880025376126","DOMS-CJ- SQUARED GAME S02-210240","192"
"87","'880025379363","DOMS-CJ- DIY DOLL HOUSE S15-270490","193"
"88","'880025417607","DOMS-CJ- MEMORY CHESS S14-110400","194"
